,datadate_full,tic,Close,Volume,Low,High,Open
0,2018-01-02,TSLA,43.064998626708984,102223600,42.314998626708984,43.07500076293945,42.540000915527344
1,2018-01-02,AAPL,45.790000915527344,844200,45.2400016784668,45.810001373291016,45.439998626708984
2,2018-01-02,SONY,21.368667602539062,65283000,20.733333587646484,21.474000930786133,20.799999237060547
3,2018-01-03,TSLA,43.057498931884766,118071600,42.9900016784668,43.63750076293945,43.13249969482422
4,2018-01-03,SONY,46.29999923706055,612500,45.900001525878906,46.36000061035156,45.93000030517578
5,2018-01-03,AAPL,21.149999618530273,67822500,21.036666870117188,21.683332443237305,21.399999618530273
6,2018-01-04,TSLA,43.25749969482422,89738400,43.02000045776367,43.36750030517578,43.1349983215332
7,2018-01-04,AAPL,47.25,770600,46.79999923706055,47.2599983215332,46.810001373291016
8,2018-01-04,SONY,20.974666595458984,149194500,20.3786678314209,21.23666763305664,20.857999801635742
9,2018-01-05,TSLA,43.75,94640000,43.26250076293945,43.842498779296875,43.36000061035156
10,2018-01-05,SONY,48.70000076293945,1356100,48.16999816894531,48.790000915527344,48.18000030517578
11,2018-01-05,AAPL,21.10533332824707,68868000,20.799999237060547,21.14933204650879,21.107999801635742
12,2018-01-08,TSLA,43.587501525878906,82271200,43.48249816894531,43.90250015258789,43.587501525878906
13,2018-01-08,AAPL,49.0,618900,48.72999954223633,49.0099983215332,48.79999923706055
14,2018-01-08,SONY,22.42733383178711,147891000,21.03333282470703,22.468000411987305,21.066667556762695
15,2018-01-09,TSLA,43.58250045776367,86336000,43.352500915527344,43.76499938964844,43.63750076293945
16,2018-01-09,SONY,49.54999923706055,1057300,49.41999816894531,49.79999923706055,49.779998779296875
17,2018-01-09,AAPL,22.246000289916992,107199000,21.82666778564453,22.586666107177734,22.3439998626709
18,2018-01-10,TSLA,43.5724983215332,95839600,43.25,43.57500076293945,43.290000915527344
19,2018-01-10,AAPL,49.779998779296875,1051300,49.470001220703125,49.970001220703125,49.7400016784668
20,2018-01-10,SONY,22.31999969482422,64648500,22.0,22.46666717529297,22.14666748046875
21,2018-01-11,TSLA,43.81999969482422,74670800,43.622501373291016,43.872501373291016,43.647499084472656
22,2018-01-11,SONY,50.279998779296875,860300,49.81999969482422,50.31999969482422,49.880001068115234
23,2018-01-11,AAPL,22.530000686645508,99682500,22.21733283996582,22.987333297729492,22.349332809448242
24,2018-01-12,TSLA,44.272499084472656,101672400,43.912498474121094,44.34000015258789,44.04499816894531
25,2018-01-12,AAPL,50.029998779296875,1043400,49.72999954223633,50.81999969482422,49.959999084472656
26,2018-01-12,SONY,22.4146671295166,72376500,22.244667053222656,22.694000244140625,22.575332641601562
