,datadate,tic,Close,open,high,low,volume,macd,rsi,cci,adx,turbulence
0,20090102,AAPL,12.96428571,12.26857143,13.00571429,12.16571429,26641980,0,100,66.66666667,100,0
1,20090102,AXP,19.33,18.57,19.52,18.4,10955620,0,100,66.66666667,100,0
2,20090102,BA,45.25,42.8,45.56,42.78,7010171,0,100,66.66666667,100,0
3,20090105,AAPL,13.51142857,13.31,13.74,13.24428571,42187570,0.01227564103,100,66.66666667,100,0
4,20090105,AXP,19.95,19.2,20.24,19,16019130,0.01391025641,100,66.66666667,100,0
5,20090105,BA,46.17,45.5,46.81,44.8,6917353,0.02064102564,100,66.66666667,100,0
6,20090106,AAPL,13.28857143,13.70714286,13.88142857,13.19857143,46038530,0.008730816555,70.35535567,45.84758942,100,0
7,20090106,AXP,21.07,20.3,21.38,20.01,13819380,0.05245556065,100,100,100,0
8,20090106,BA,46.31,46.85,47,45.5,7180778,0.03064215526,100,66.41870351,100,0
9,20090107,AAPL,13.00142857,13.11571429,13.21428571,12.89428571,26890770,-0.003462592744,50.42921579,-30.76720621,43.60825822,0
10,20090107,AXP,20.01,20.53,20.72,19.83,15699820,0.03043027177,61.05836347,28.16616008,80.81581049,0
11,20090107,BA,44.76,45.1,45.61,44.17,6586169,-0.02152225599,39.09679898,-51.69424744,2.24262956,0
12,20090108,AAPL,13.24285714,12.91857143,13.30714286,12.86285714,23670270,-0.0004084141913,60.22700717,-8.239642692,48.35816041,0
13,20090108,AXP,20.04,19.8,20.17,19.4,12255070,0.01901519446,61.49734228,-10.02358491,45.23970101,0
14,20090108,BA,44.79,44.5,44.9,43.88,5476776,-0.0482207501,39.83051705,-65.98407281,12.65072728,0
15,20090109,AAPL,12.94,13.31571429,13.34,12.87714286,19520190,-0.01151511061,47.93264041,-29.37907707,49.95267395,0
16,20090109,AXP,19.23,20.16,20.3,19.17,12592110,-0.02284031178,46.77104794,-49.33569531,30.55276504,0
17,20090109,BA,44.45,44.8,45.15,43.93,5644942,-0.0779023751,34.90096509,-59.27576602,2.5857121,0
18,20090112,AAPL,12.66571429,12.92285714,12.99857143,12.50714286,21970930,-0.03086520452,40.23723304,-102.6896741,9.320930943,0
19,20090112,AXP,18.83,19.01,19.43,18.55,12252580,-0.06740991331,41.67314424,-113.8063648,1.094827339,0
20,20090112,BA,43.74,44.28,44.45,43.19,4988907,-0.1277598455,27.53834984,-110.449762,24.05567013,0
21,20090113,AAPL,12.53,12.60571429,12.81998571,12.33571429,28436780,-0.0497983105,37.18177702,-114.8122362,3.614164371,0
22,20090113,AXP,18.99,18.64,19.3857,18.41,11864760,-0.0886017682,44.19028543,-92.76890196,4.126887305,0
23,20090113,BA,42.46,43.38,43.62,41.8,6359304,-0.2200131564,19.76296815,-169.0061566,47.35384758,0
24,20090114,AAPL,12.19,12.32,12.46428571,12.10285714,35379980,-0.07902006544,31.06766783,-137.1352395,17.74585604,0
25,20090114,AXP,17.83,18.43,18.67,17.7,17039810,-0.159480438,33.38471032,-147.4234075,25.09989196,0
26,20090114,BA,41.2,41.88,41.98,40.87,7354895,-0.3430624319,15.34964307,-174.0707965,56.82657323,0
